year,feature,value
1972,warm_edge,36.07680687919045
1972,centroid,36.897504226415755
1972,cold_edge,40.86020088101989
1972,dens,0.13825238254281258
1972,dens_lr,NA
1973,warm_edge,36.17239087301587
1973,centroid,37.48600640693637
1973,cold_edge,41.283914835164836
1973,dens,0.3182600732600733
1973,dens_lr,0.8337880151347162
1974,warm_edge,36.09567272727273
1974,centroid,37.87462663557706
1974,cold_edge,40.72273011363636
1974,dens,1.1793863636363637
1974,dens_lr,1.3098806624087533
1975,warm_edge,35.71955587055587
1975,centroid,37.58890705376939
1975,cold_edge,40.88288490920844
1975,dens,1.7988896763896765
1975,dens_lr,0.42217535572588355
1976,warm_edge,35.63501999350465
1976,centroid,37.738958848990855
1976,cold_edge,40.82151162124504
1976,dens,0.9525299902569724
1976,dens_lr,-0.6358033147667526
1977,warm_edge,36.52047154281059
1977,centroid,37.82961920448427
1977,cold_edge,40.75870842936911
1977,dens,1.5920306015382741
1977,dens_lr,0.5136439959520877
1978,warm_edge,36.499894627874035
1978,centroid,38.08489987973929
1978,cold_edge,41.11783300963406
1978,dens,0.24994731393701644
1978,dens_lr,-1.851515436890745
1979,warm_edge,36.3424012190546
1979,centroid,37.44977926776752
1979,cold_edge,40.602632200735556
1979,dens,0.6848024381092
1979,dens_lr,1.0078802337435866
1980,warm_edge,36.12054266729669
1980,centroid,37.30881203532962
1980,cold_edge,40.630645037761376
1980,dens,1.7835273374284746
1980,dens_lr,0.95721794750389
1981,warm_edge,36.41870102568065
1981,centroid,38.14604895039034
1981,cold_edge,40.88623285653578
1981,dens,0.7198265878077774
1981,dens_lr,-0.907337999914057
1982,warm_edge,36.41722653554175
1982,centroid,37.90703399612955
1982,cold_edge,40.76318787297528
1982,dens,0.8616709799861973
1982,dens_lr,0.1798631713145386
1983,warm_edge,35.312283765617096
1983,centroid,36.93491936108132
1983,cold_edge,39.65385651385651
1983,dens,1.4052769452769454
1983,dens_lr,0.48911617237095656
1984,warm_edge,36.75118053624397
1984,centroid,38.14002300019504
1984,cold_edge,41.28952382778895
1984,dens,0.8584920414216854
1984,dens_lr,-0.49281226645498755
1985,warm_edge,36.462031525851195
1985,centroid,37.996307223703646
1985,cold_edge,41.0759369482976
1985,dens,0.5775394073139974
1985,dens_lr,-0.3964007321235358
1986,warm_edge,37.21136028534345
1986,centroid,38.7762839277497
1986,cold_edge,41.012551166911045
1986,dens,0.34346046368311445
1986,dens_lr,-0.5197046712509369
1987,warm_edge,37.020606254856254
1987,centroid,38.32633535546919
1987,cold_edge,41.24541620284477
1987,dens,0.22008694083694086
1987,dens_lr,-0.4450493526805284
1988,warm_edge,35.620239316239314
1988,centroid,37.633675606721575
1988,cold_edge,40.99212915479582
1988,dens,0.31011965811965814
1988,dens_lr,0.34293556302753064
1989,warm_edge,37.07724474452973
1989,centroid,37.75560212860031
1989,cold_edge,41.02308117212402
1989,dens,0.1817523400699494
1989,dens_lr,-0.5343132253934084
1990,warm_edge,35.44056044447759
1990,centroid,37.68352722609914
1990,cold_edge,41.62936978480457
1990,dens,0.29370696298505977
1990,dens_lr,0.4799375541941777
1991,warm_edge,35.39033529635258
1991,centroid,37.32374973131035
1991,cold_edge,40.10909781707654
1991,dens,0.6245364741641337
1991,dens_lr,0.7544271875091795
1992,warm_edge,36.14963095238095
1992,centroid,37.376163577054655
1992,cold_edge,41.09314574314574
1992,dens,0.9521969696969697
1992,dens_lr,0.4217621810854846
1993,warm_edge,36.15568131987928
1993,centroid,37.6164963856246
1993,cold_edge,40.30803217101171
1993,dens,0.4465561114273523
1993,dens_lr,-0.7572068524215567
1994,warm_edge,36.229999061412926
1994,centroid,37.82571438117656
1994,cold_edge,40.83958824488465
1994,dens,0.5979975596736063
1994,dens_lr,0.29202161121798237
1995,warm_edge,36.226029281277725
1995,centroid,38.167302622215296
1995,cold_edge,40.776067447045705
1995,dens,0.76370082815735
1995,dens_lr,0.2445894531662136
1996,warm_edge,37.008254115078266
1996,centroid,38.37465826581885
1996,cold_edge,41.504999202551836
1996,dens,0.6319159116359564
1996,dens_lr,-0.18941979220932118
1997,warm_edge,36.43117184020283
1997,centroid,38.29919678037573
1997,cold_edge,41.432236035787604
1997,dens,1.038887253665237
1997,dens_lr,0.4971491368473728
1998,warm_edge,35.934643099528316
1998,centroid,37.74275875383571
1998,cold_edge,40.922717496021036
1998,dens,1.8692861990566358
1998,dens_lr,0.5874064543105415
1999,warm_edge,36.281931307964555
1999,centroid,38.38126123368019
1999,cold_edge,40.9644801683025
1999,dens,1.2708051837335725
1999,dens_lr,-0.38590594374624304
2000,warm_edge,37.35399638515554
2000,centroid,38.982178997606745
2000,cold_edge,41.49783171791444
2000,dens,0.7941265856236787
2000,dens_lr,-0.4701631052199864
2001,warm_edge,36.710428608176585
2001,centroid,38.99222232175391
2001,cold_edge,41.614885501964885
2001,dens,0.9041818649520191
2001,dens_lr,0.12978764192534134
2002,warm_edge,37.10247571762826
2002,centroid,39.14283990209936
2002,cold_edge,41.61768866632426
2002,dens,0.9557783341893511
2002,dens_lr,0.05549549996023268
2003,warm_edge,36.16422375983061
2003,centroid,38.36078662833397
2003,cold_edge,41.139028625639334
2003,dens,0.8418386771526518
2003,dens_lr,-0.1269376171079765
2004,warm_edge,37.205504385964915
2004,centroid,38.83123818913812
2004,cold_edge,41.48861344537815
2004,dens,1.4489285714285716
2004,dens_lr,0.5429912449701764
2005,warm_edge,37.12883477633478
2005,centroid,38.746294159741794
2005,cold_edge,41.54981591058514
2005,dens,0.8360561660561661
2005,dens_lr,-0.5498838509196394
2006,warm_edge,37.109529768707574
2006,centroid,38.854712994444434
2006,cold_edge,41.45288754043806
2006,dens,0.8206686893429086
2006,dens_lr,-0.018576312357854546
