lat_floor,year,dens_pred
35,2007,1.0238408677894757
35,2009,3.87392371205738
35,2010,10.867115362819556
35,2011,13.681853889980534
35,2012,11.000453451611
35,2013,5.858856116249476
35,2014,3.977593632658999
35,2015,6.781127318560679
35,2016,8.054528044924098
36,2007,12.355076062507706
36,2009,9.982808929188229
36,2010,5.751257153930382
36,2011,7.723389022517372
36,2012,9.566663622122118
36,2013,5.097276398139017
36,2014,4.619768626421065
36,2015,3.9347352662403656
36,2016,5.963141112076406
37,2007,6.790114077785923
37,2009,9.76354757096083
37,2010,7.700296622296093
37,2011,9.941103465275575
37,2012,7.573996564624742
37,2013,3.3078559082790444
37,2014,4.292635760362714
37,2015,7.683249026228031
37,2016,5.0226338108439155
38,2007,4.559269109092056
38,2009,10.592227737937492
38,2010,3.705647116184026
38,2011,7.788129187820028
38,2012,3.874026146615581
38,2013,3.178510894118272
38,2014,6.168171877590823
38,2015,3.4307803664742416
38,2016,3.3670883252018795
39,2007,7.226796830736162
39,2009,7.610220999788013
39,2010,7.394244467418808
39,2011,6.8323480817565585
39,2012,4.268371332880071
39,2013,4.496553518460747
39,2014,6.538792781135227
39,2015,3.511821558902355
39,2016,4.231591359448357
40,2007,3.400898631968741
40,2009,5.359097080449257
40,2010,5.888660580520151
40,2011,6.0469683955449485
40,2012,4.033419450482735
40,2013,3.4923293348966578
40,2014,6.898309558204506
40,2015,8.48573632443939
40,2016,9.085866329224649
41,2007,2.9149346541338743
41,2009,1.3640009849558676
41,2010,1.4825307290382475
41,2011,2.8382272813055827
41,2012,3.960568969293597
41,2013,1.8870893367579524
41,2014,5.275596412725741
41,2015,3.454634521514204
41,2016,4.075500010345293
42,2007,1.0051563460774657
42,2009,1.0151793558359852
42,2010,1.0135855403156209
42,2011,1.027668349717154
42,2012,1.1175848651711153
42,2013,1.033789287331364
42,2014,1.0393197537799186
42,2015,1.0619655346373549
42,2016,1.0814192407753382
43,2007,1.002982923660274
43,2009,1.011549638230075
43,2010,1.029050777347213
43,2011,1.0135701913756263
43,2012,1.0438849930587828
43,2013,1.0131848696171564
43,2014,1.0606079891984401
43,2015,1.0144063719664664
43,2016,1.0501509052112532
44,2007,1.0065635101734565
44,2009,1.0225896357118998
44,2010,1.0554360733809158
44,2011,1.0321265023001216
44,2012,1.0649790957945937
44,2013,1.0375153995429631
44,2014,1.046456920110145
44,2015,1.0604144101133466
44,2016,1.0952078509491106
